Feature.ID	ST3_Total_Exon_Reads_fwd_RNA.Seq	SB3_Total_Exon_Reads_fwd_RNA.Seq	SC3_Total_Exon_Reads_fwd_RNA.Seq	SL3_Total_Exon_Reads_fwd_RNA.Seq	SC4_Total_Exon_Reads_fwd_RNA.Seq	SL4_Total_Exon_Reads_fwd_RNA.Seq	ST4_Total_Exon_Reads_fwd_RNA.Seq	SB4_Total_Exon_Reads_fwd_RNA.Seq	SC2_Total_Exon_Reads_fwd_RNA.Seq	SL2_Total_Exon_Reads_fwd_RNA.Seq	SB2_Total_Exon_Reads_fwd_RNA.Seq	ST2_Total_Exon_Reads_fwd_RNA.Seq	SC1_Total_Exon_Reads_fwd_RNA.Seq	SL1_Total_Exon_Reads_fwd_RNA.Seq	SB1_Total_Exon_Reads_fwd_RNA.Seq	ST1_Total_Exon_Reads_fwd_RNA.Seq
KIRREL	14	119	71	15	100	40	23	23	367	0	23	34	45	7	341	17
KIRREL2	4	0	0	0	0	0	10	0	0	0	0	6	0	8	0	5
KIRREL3	10	10	0	0	3	0	17	0	0	7	0	5	0	12	4	4
KISS1	2	0	2	2	1	0	0	0	0	0	1	0	1	1	3	0
KISS1R	1	0	0	0	0	2	0	6	0	0	0	1	1	0	2	0
KIT	48	207	18	15	12	33	40	47	82	0	83	205	51	20	62	137
KITLG	120	509	127	39	110	25	177	77	348	15	366	523	601	34	316	385
KL	17	26	75	9	0	1	6	0	36	0	9	18	4	15	169	16
KLB	23	1	12	192	5	76	10	1	5	0	13	4	62	111	17	6
KLC1	147	729	302	266	358	257	493	14	493	24	400	1025	533	78	1843	579
KLC2	7	57	41	15	25	17	65	43	61	1	42	57	20	4	323	37
KLC3	2	41	3	0	2	0	0	0	0	0	1	12	0	3	99	3
KLC4	11	43	136	210	164	204	49	8	307	85	43	41	142	65	197	32
KLF1	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0
KLF10	60	1189	284	186	347	346	109	8	536	14	206	313	342	115	1509	185
KLF11	26	270	190	293	123	419	60	80	248	18	250	155	124	60	620	76
KLF12	267	321	402	396	216	356	979	6	497	50	173	1696	421	215	675	1177
KLF13	179	630	250	149	550	123	593	149	518	16	402	1004	670	65	1510	613
KLF14	2	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0
KLF15	7	2	5	126	3	172	3	0	34	21	11	8	27	89	13	5
KLF16	15	85	68	159	105	141	49	11	132	40	160	38	46	14	239	23
KLF17	18	3	7	6	11	0	25	6	0	0	4	10	4	15	6	1
KLF2	41	143	31	10	17	17	52	0	222	11	30	140	26	11	60	149
KLF3	144	2043	577	341	1136	299	348	174	1303	52	1040	754	964	145	2061	737
KLF4	41	2822	163	82	125	176	64	5	252	2	79	142	165	17	657	223
