Feature.ID	P1_FF_Total_Exon_Reads_fwd_RNA.Seq	P1_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P2_FF_Total_Exon_Reads_fwd_RNA.Seq	P2_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P3_FF_Total_Exon_Reads_fwd_RNA.Seq	P3_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FF_Total_Exon_Reads_fwd_RNA.Seq	P5_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P5_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FF_Total_Exon_Reads_fwd_RNA.Seq
AGFG2	64	76	517	152	286	21	75	225	49	157	270	105	54	228
AGGF1	169	64	988	194	1079	17	91	720	86	579	481	28	58	825
AGK	72	46	228	59	358	11	41	245	41	177	309	22	25	252
AGL	330	72	1238	269	1830	26	156	1630	103	981	1487	49	86	1602
AGMAT	23	10	47	8	24	3	6	13	6	27	65	23	1	28
AGMO	23	13	0	0	0	1	1	0	3	1	4	0	1	3
AGPAT1	49	73	102	55	262	26	84	252	62	158	183	68	69	219
AGPAT2	15	12	77	9	120	9	7	97	9	50	62	18	6	49
AGPAT3	144	114	814	266	1060	38	204	928	104	753	877	155	147	846
AGPAT4	61	39	19	27	83	4	48	155	40	40	69	20	20	65
AGPAT5	102	29	986	167	589	18	92	798	62	396	623	53	60	486
AGPAT6	122	136	525	141	764	30	129	726	55	452	446	95	77	456
AGPAT9	38	6	16	14	132	6	19	92	15	21	37	11	7	21
AGPHD1	12	0	43	17	61	0	15	52	6	66	63	3	8	76
AGPS	137	65	345	95	395	27	74	656	69	190	339	32	50	279
AGR2	81	45	8440	614	7877	20	135	3708	33	2862	1352	33	29	3001
AGR3	5	0	25	10	47	0	3	14	2	1	1	1	0	2
AGRN	140	58	469	106	562	24	57	535	36	332	505	97	36	372
AGRP	2	0	0	0	0	0	0	0	0	0	0	1	0	0
AGT	13	8	2	0	3	3	2	17	4	3	20	6	3	3
AGTPBP1	71	49	254	58	337	10	41	351	25	229	354	28	32	251
AGTR1	25	12	424	58	113	0	22	233	10	154	107	4	11	89
AGTR2	3	0	0	0	0	0	0	0	0	0	0	0	1	0
AGTRAP	51	26	243	46	317	8	34	189	14	190	256	36	21	211
AGXT	3	0	0	0	0	1	0	2	2	0	0	6	0	0
AGXT2	20	0	0	0	0	5	0	0	1	0	0	5	0	0
AGXT2L1	19	0	0	1	2	2	0	1	0	0	0	4	0	1
AGXT2L2	56	71	185	85	227	9	43	216	32	199	230	39	21	206
AHCTF1	374	252	1446	330	2130	68	201	1771	176	1086	1558	108	123	1616
AHCY	119	88	908	186	1110	24	111	745	64	410	436	67	44	657
AHCYL1	298	181	1152	410	2256	101	316	1518	213	1038	1412	193	273	1543
AHCYL2	108	88	1128	304	567	64	142	435	85	385	462	100	104	473
AHDC1	51	104	32	31	77	21	54	146	44	71	106	65	34	60
AHI1	269	194	621	263	1250	29	135	1476	98	780	1113	81	108	981
AHNAK	8795	8844	17692	7833	51283	2147	7282	32436	5849	34909	30367	6162	4776	53762
AHNAK2	221	251	255	159	676	95	240	1361	142	309	727	221	172	363
AHR	181	140	347	202	1308	43	185	1754	115	316	835	71	149	507
AHRR	26	29	2	3	16	8	3	5	9	4	19	13	2	6
AHSA1	151	64	960	156	921	18	62	924	42	487	788	31	39	672
AHSA2	192	142	416	218	863	40	192	936	97	487	847	84	126	499
AHSG	8	0	0	0	0	0	0	0	2	0	0	2	0	0
AHSP	3	0	0	0	0	0	1	0	1	0	0	1	0	0
AICDA	7	8	2	1	1	0	3	2	4	0	1	6	1	0
AIDA	137	82	347	117	501	42	129	528	67	299	361	76	113	453
AIF1	17	23	21	12	87	2	14	128	21	37	52	31	20	28
AIF1L	25	8	298	62	139	24	30	66	44	131	134	30	54	71
AIFM1	61	60	287	78	462	5	22	302	14	290	375	36	10	364
AIFM2	35	14	83	13	77	15	35	109	15	56	75	20	34	37
AIFM3	8	1	6	3	22	5	0	16	1	6	6	5	1	3
AIG1	53	31	278	62	244	5	36	319	23	208	381	10	8	359
AIM1	824	258	3982	704	5015	80	340	3581	245	6259	5226	139	515	7290
AIM1L	19	0	0	0	2	1	1	2	9	2	0	10	8	0
AIM2	14	8	7	6	7	0	1	13	2	4	8	9	0	9
AIMP1	123	81	754	116	972	13	50	699	49	448	759	41	41	626
AIMP2	25	14	192	22	217	4	14	158	3	92	191	4	5	157
AIP	29	15	105	14	219	5	10	161	5	87	134	22	8	133
AIPL1	10	1	0	0	0	0	2	0	0	1	1	3	0	0
AIRE	8	0	0	0	0	2	0	0	0	0	0	8	2	0
AJAP1	9	10	16	4	31	3	8	37	6	9	9	12	1	10
AJUBA	69	61	82	35	269	9	36	351	32	51	141	27	25	89
AK1	17	51	76	25	75	8	20	118	5	35	68	20	11	32
AK2	208	195	841	276	1410	76	283	1032	135	765	1108	157	189	973
AK3	156	46	741	175	846	33	139	955	85	519	748	60	86	804
AK4	288	90	758	197	2230	62	179	885	117	933	1010	114	128	1288
AK5	26	0	5	3	35	0	8	174	4	13	26	15	1	8
AK7	55	14	12	3	16	0	6	24	4	12	29	17	2	13
AK8	6	0	2	1	12	0	2	3	6	4	13	3	0	6
AKAP1	236	181	1337	258	1708	38	181	1457	120	1559	1526	144	91	2124
AKAP10	179	95	425	129	672	39	101	640	70	401	571	59	38	518
AKAP11	413	270	1607	547	1800	69	382	2178	274	1210	1790	222	223	1671
AKAP12	776	772	758	353	2760	118	461	2524	282	921	1573	411	307	1274
AKAP13	648	791	2928	1103	3670	142	600	3455	339	1978	3173	415	412	2690
AKAP14	4	0	0	0	0	0	0	1	0	0	0	0	0	0
AKAP17A (NC_000023 1710485..1721413)	23	28	182	17	261	3	18	141	5	142	175	11	3	219
AKAP17A (NC_000024 1660485..1671413)	38	34	165	32	200	2	10	282	5	172	218	10	5	140
AKAP2	2	5	49	3	41	5	3	248	1	14	16	0	6	118
AKAP3	20	3	15	3	31	5	7	25	4	13	13	6	3	41
AKAP4	8	0	0	0	0	0	1	0	6	0	0	2	0	0
AKAP5	57	15	182	45	95	4	16	61	10	35	62	17	13	28
AKAP6	97	17	32	31	114	16	48	157	28	62	57	15	24	111
AKAP7	91	33	135	44	160	8	39	212	25	167	194	18	30	621
AKAP8	92	115	341	95	646	17	65	563	32	307	492	44	27	390
AKAP8L	125	56	350	59	656	5	50	657	32	467	627	35	18	550
AKAP9	1200	514	8091	1719	6985	141	566	6252	402	4281	5080	230	260	5996
AKD1	90	47	90	43	161	6	34	202	20	143	217	29	38	238
AKIP1	20	20	74	14	91	4	11	95	9	36	99	10	3	60
AKIRIN1	124	56	377	85	948	21	74	694	38	308	515	46	54	465
AKIRIN2	25	47	79	42	153	4	28	151	19	91	110	23	19	135
AKNA	87	328	174	138	345	28	104	321	56	223	199	111	68	217
AKNAD1	25	0	0	1	2	2	3	6	4	0	2	0	0	2
AKR1A1	114	99	870	170	1001	10	64	545	37	584	659	48	55	824
AKR1B1	33	24	56	31	69	10	19	112	20	42	70	32	8	31
AKR1B10	23	3	0	0	0	0	2	0	2	0	0	6	0	0
AKR1B15	55	1	2	3	3	2	0	1	11	1	1	9	3	5
AKR1C1	18	21	5	7	35	0	6	57	5	10	36	4	4	11
AKR1C2	59	10	6	13	18	6	5	35	14	2	16	15	5	12
AKR1C3	9	9	19	6	33	0	3	73	7	7	30	1	0	6
AKR1C4	12	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1D1	29	0	0	0	5	0	0	0	7	0	1	2	0	0
AKR1E2	12	13	31	12	23	4	11	25	10	6	56	11	2	12
AKR7A2	65	28	247	55	272	3	39	199	29	153	236	25	26	176
AKR7A3	8	0	8	2	6	0	2	7	7	8	9	3	2	14
AKT1	317	200	1256	225	1589	72	193	1188	160	1132	1277	239	129	1079
AKT1S1	35	46	142	33	141	8	49	125	24	116	148	48	26	116
AKT2	108	219	363	160	665	70	205	473	124	351	396	197	144	394
AKT3	397	298	1991	622	1952	144	611	2250	369	1516	2078	282	611	2767
AKTIP	93	42	264	66	514	8	59	543	44	221	391	28	33	287
ALAD	117	106	135	55	906	27	77	561	83	228	255	72	81	217
ALAS1	76	36	191	42	606	8	17	403	30	247	276	29	17	309
ALAS2	10	9	1	0	1	0	1	1	2	0	0	1	0	0
ALB	27	0	5	1	17	4	1	8	2	9	7	1	1	6
ALCAM	309	86	2469	478	5440	56	277	2945	130	2215	2747	76	200	4962
ALDH16A1	11	18	28	13	50	4	19	52	12	35	33	17	5	28
ALDH18A1	115	90	739	138	1172	23	71	754	51	510	764	54	45	831
ALDH1A1	124	239	787	164	939	24	92	1158	99	435	649	68	103	465
ALDH1A2	89	152	115	44	528	41	145	572	95	123	322	89	53	178
ALDH1A3	541	354	7341	1255	6941	105	670	3878	324	3625	7915	343	352	10246
ALDH1B1	47	39	125	45	395	19	85	440	22	104	235	44	78	224
ALDH1L1	25	16	153	30	93	1	8	68	13	67	122	20	4	49
ALDH1L2	102	38	48	46	98	34	96	197	44	73	262	100	66	73
ALDH2	164	147	144	42	958	20	48	844	50	296	396	41	18	341
ALDH3A1	13	2	0	2	7	0	1	7	5	2	3	2	2	4
ALDH3A2	367	172	835	225	1949	83	179	1769	156	953	1446	126	127	1615
ALDH3B1	15	16	9	4	21	5	2	43	11	9	14	11	5	9
ALDH3B2	7	10	216	36	76	0	29	69	2	99	144	15	5	234
ALDH4A1	128	42	178	31	193	20	30	168	48	188	212	62	17	151
ALDH5A1	119	36	336	93	530	19	76	396	55	328	430	55	77	540
ALDH6A1	135	49	805	127	1131	7	54	597	36	968	728	27	44	1455
ALDH7A1	215	139	870	240	1431	27	109	771	80	829	920	72	37	900
ALDH8A1	28	8	3	10	4	0	5	10	4	7	4	5	5	1
ALDH9A1	337	116	1381	181	1243	19	92	1277	76	804	1246	57	51	795
ALDOA	280	393	1319	348	2740	67	233	1918	136	822	1513	175	155	1022
ALDOB	28	0	1	0	1	1	4	0	4	0	1	4	1	0
ALDOC	25	5	30	5	172	6	4	112	14	30	47	8	10	39
ALG1	69	56	176	42	258	19	28	170	27	116	147	58	25	196
ALG10	43	5	121	28	158	4	18	104	22	78	140	8	43	143
ALG10B	131	51	608	175	640	31	132	503	95	379	699	104	114	751
ALG11	91	52	286	66	403	4	40	279	22	258	370	27	15	365
ALG12	32	43	145	42	252	9	31	186	26	127	141	14	26	169
ALG13	167	159	369	302	602	90	295	672	175	548	661	146	304	591
ALG14	21	1	136	12	167	0	5	146	8	86	151	1	3	153
ALG1L	1	9	2	0	2	1	0	1	2	4	4	0	0	3
ALG1L2	4	7	2	2	0	1	0	1	2	1	1	2	1	0
ALG2	128	39	545	97	871	18	52	463	38	384	503	19	101	578
ALG3	35	14	142	41	277	12	20	134	15	139	119	24	20	194
ALG5	56	19	284	38	408	1	18	265	11	177	301	8	12	270
ALG6	52	10	301	61	197	0	24	153	12	117	270	8	4	186
ALG8	23	22	224	35	257	13	25	189	16	177	189	14	17	292
ALG9	121	47	328	98	443	15	99	417	42	286	351	69	67	353
ALK	33	0	2	2	1	1	0	2	4	5	1	3	1	3
ALKBH1	32	23	104	24	141	4	17	117	13	71	93	7	19	113
ALKBH2	17	14	91	11	108	1	11	105	4	61	85	6	3	107
ALKBH3	54	45	225	25	282	4	21	215	25	132	221	14	14	195
ALKBH4	18	8	45	4	40	4	13	43	12	22	36	9	3	36
ALKBH5	197	190	944	233	1603	94	289	1525	161	793	1114	175	230	980
ALKBH6	11	16	14	10	58	5	6	39	4	25	32	6	5	36
ALKBH7	22	6	108	10	103	1	10	66	2	43	77	8	5	69
ALKBH8	57	27	119	31	196	5	23	215	34	106	159	15	17	167
ALLC	14	0	0	0	0	0	1	0	1	0	0	0	0	0
ALMS1	512	387	1333	563	1832	92	416	1916	268	1326	2010	178	250	1523
ALOX12	18	2	0	1	2	2	0	2	3	1	1	13	5	0
ALOX12B	12	0	0	1	8	0	5	3	10	1	3	17	5	2
ALOX15	17	0	53	5	12	6	13	25	7	0	143	35	6	3
ALOX15B	137	148	100	44	2416	27	107	318	323	2178	583	28	63	2586
ALOX5	51	45	99	19	79	7	9	117	13	71	76	14	9	138
ALOX5AP	12	2	20	15	49	1	11	53	10	14	29	5	13	18
ALOXE3	24	0	1	0	4	5	1	1	7	0	0	12	6	3
ALPI	0	0	0	0	0	0	0	0	1	0	0	9	2	0
ALPK1	115	46	65	42	281	11	47	414	29	123	193	22	8	212
ALPK2	40	3	8	6	10	0	11	9	9	6	7	13	0	7
ALPK3	62	70	52	35	48	9	49	82	42	24	108	50	35	30
ALPL	8	11	18	1	42	5	6	76	11	5	13	21	5	6
ALPP	7	0	0	0	0	2	1	1	6	0	0	4	0	0
ALPPL2	9	0	0	0	0	2	0	0	3	0	0	1	2	0
ALS2	136	90	351	105	458	29	100	592	77	390	550	56	66	459
ALS2CL	40	29	22	13	107	13	14	148	22	18	56	28	16	18
ALS2CR11	60	9	3	4	17	0	10	41	6	9	13	3	13	9
ALS2CR12	29	14	7	2	17	7	4	15	4	18	10	1	7	15
ALS2CR8	105	71	149	52	270	18	52	336	53	172	303	31	53	266
ALX1	4	0	0	0	0	0	0	2	0	3	1	0	0	1
ALX3	4	0	0	0	0	6	0	0	2	0	1	1	0	1
ALX4	11	1	3	1	3	0	2	0	0	4	0	9	2	1
ALYREF	44	50	228	29	283	6	11	240	6	130	240	13	12	180
AMACR	62	30	20395	4275	1494	20	391	1740	34	3577	4380	150	147	4788
AMBN	17	0	0	0	0	3	0	0	1	0	0	6	0	0
AMBP	7	0	1	0	0	0	0	0	1	0	0	0	2	0
AMBRA1	114	98	288	122	474	18	81	450	58	280	356	63	61	332
AMD1	942	188	6036	1209	11187	141	781	9979	340	4109	8646	382	379	3748
AMDHD1	21	0	2	2	2	1	0	10	3	0	2	1	0	1
AMDHD2	15	4	40	7	56	7	14	46	6	26	32	9	6	38
AMELX	3	0	0	0	0	0	0	1	1	2	1	9	1	1
AMELY	4	0	0	0	0	0	0	0	4	1	0	1	0	0
AMFR	142	146	696	163	1252	54	136	1127	114	465	816	136	111	764
AMH	0	0	2	0	3	0	0	3	0	0	4	1	1	2
AMHR2	7	0	1	0	1	5	1	1	6	0	0	10	3	0
AMICA1	44	43	30	30	113	6	17	176	14	79	50	6	16	35
AMIGO1	24	36	104	19	173	2	24	136	27	116	118	25	19	128
AMIGO2	23	16	22	11	126	3	26	221	7	31	36	14	7	38
AMIGO3	9	4	80	7	40	1	12	37	7	24	17	17	7	33
AMMECR1	43	23	286	95	296	10	49	173	26	161	320	16	45	173
AMMECR1L	70	46	170	77	269	34	56	242	65	165	202	60	50	223
AMN	1	0	0	0	4	0	1	2	3	0	0	3	0	1
AMN1	30	10	124	29	109	6	19	115	19	51	107	4	22	80
AMOT	163	79	168	69	681	64	81	961	71	237	401	65	61	332
AMOTL1	907	541	1678	483	6549	144	522	3903	392	2114	2321	315	355	2169
AMOTL2	101	114	279	112	692	32	151	596	81	223	390	78	131	411
AMPD1	33	1	12	11	20	0	6	4	1	10	2	4	0	2
AMPD2	55	96	231	59	319	7	71	335	31	185	280	43	29	252
AMPD3	94	57	825	262	345	12	95	299	43	189	580	29	32	238
AMPH	35	8	7	10	19	10	4	35	8	4	7	4	12	20
AMT	52	79	38	25	178	7	35	183	35	63	150	41	12	184
AMTN	14	0	3	0	7	1	1	16	5	2	5	0	5	6
AMY1A	11	1	1	0	0	0	0	0	1	0	0	7	0	0
AMY1B	3	0	0	0	1	0	1	0	2	0	0	0	0	0
AMY1C	25	0	0	0	0	0	0	0	0	0	0	0	3	0
AMY2A	18	2	0	0	1	1	1	1	2	1	0	6	3	0
AMY2B	57	48	120	52	347	4	43	483	42	185	306	17	29	178
AMZ1	17	2	1	4	2	3	3	0	4	4	3	9	4	0
AMZ2	106	82	617	109	625	25	109	580	46	306	575	59	71	436
ANAPC1	245	78	618	185	1055	36	130	948	81	643	901	73	81	770
ANAPC10	33	5	101	13	133	3	12	142	5	70	89	14	11	84
ANAPC11	16	4	99	10	112	3	9	78	4	38	79	7	4	75
ANAPC13	81	64	428	88	640	12	77	427	54	302	466	50	38	403
ANAPC15	28	12	179	17	180	3	21	149	12	105	147	22	22	113
ANAPC16	191	198	810	233	856	37	175	856	134	481	870	52	125	607
ANAPC2	31	48	110	35	153	4	24	121	17	98	136	20	9	99
ANAPC4	117	31	320	88	551	16	54	536	41	309	510	49	32	441
ANAPC5	137	78	1025	191	1038	16	61	707	35	490	677	51	48	728
ANAPC7	93	138	351	83	550	12	77	519	46	253	445	45	41	324
ANG	8	4	2	0	33	0	0	48	1	26	38	0	0	45
ANGEL1	35	43	108	49	119	10	50	124	29	120	110	38	29	114
ANGEL2	113	121	542	152	586	18	96	588	70	385	637	61	103	771
ANGPT1	219	140	110	63	559	20	106	992	109	183	729	50	33	233
ANGPT2	61	19	174	30	100	6	8	113	17	65	115	11	15	48
ANGPT4	3	0	0	0	0	0	0	0	2	1	1	3	0	0
ANGPTL1	67	31	43	10	53	6	28	191	13	55	333	16	18	60
ANGPTL2	61	136	76	41	370	40	112	418	50	104	222	62	113	152
ANGPTL3	13	0	21	3	3	5	7	0	4	0	8	0	2	4
ANGPTL4	9	3	1	3	32	0	2	32	8	11	38	10	3	13
ANGPTL5	22	0	0	1	3	2	0	0	3	0	0	0	0	1
ANGPTL6	2	0	1	0	3	1	1	2	2	0	2	8	4	0
ANGPTL7	10	1	1	3	29	0	4	46	2	3	6	6	1	7
ANHX	3	0	0	0	0	0	0	0	2	0	0	4	0	0
ANK1	63	15	14	15	35	2	31	30	14	25	22	28	9	29
ANK2	277	166	106	71	333	29	138	759	82	152	383	104	114	239
ANK3	539	298	2648	895	1618	92	220	1297	188	1682	1535	156	141	2723
ANKAR	76	16	79	61	99	7	43	165	27	118	165	14	31	144
ANKDD1A	27	47	14	16	36	4	25	89	25	28	64	14	22	13
ANKDD1B	27	0	12	0	10	0	6	13	2	29	9	1	5	19
ANKFN1	17	4	2	3	2	2	1	9	2	1	4	8	2	6
ANKFY1	248	149	443	180	865	41	154	741	125	554	715	134	117	797
ANKH	366	234	654	222	2424	163	257	2047	269	1666	1053	189	347	2026
ANKHD1	380	251	1617	532	2132	19	154	1791	98	1491	1857	43	48	2030
ANKHD1-EIF4EBP3	345	382	1177	498	1386	55	293	1276	203	1280	1272	185	225	1501
ANKIB1	182	103	657	227	770	28	154	783	87	529	773	75	110	810
ANKK1	10	0	3	3	8	0	2	4	4	8	3	4	2	7
ANKLE1	18	18	1	4	1	0	3	5	5	2	5	19	4	0
ANKLE2	146	81	653	190	898	16	90	832	77	493	686	75	61	697
ANKMY1	18	25	27	23	48	9	10	58	13	56	59	42	14	39
ANKMY2	56	63	157	25	449	10	31	422	28	127	270	8	17	196
ANKRA2	100	18	720	149	530	9	44	478	32	249	700	10	12	387
ANKRD1	20	0	0	0	23	1	7	105	4	1	50	5	1	19
ANKRD10	139	109	539	157	672	13	86	781	63	589	845	30	48	662
ANKRD11	436	561	1141	494	1226	29	223	1315	180	1017	1191	208	110	902
ANKRD12	518	365	1646	605	2557	90	463	2431	270	1398	1936	161	200	1874
ANKRD13A	155	90	499	176	1595	41	165	1003	83	410	698	47	106	654
ANKRD13B	14	17	53	21	18	3	19	47	13	28	45	29	10	24
ANKRD13C	151	50	518	119	811	18	95	626	98	425	654	57	100	658
ANKRD13D	45	25	122	35	146	3	12	160	8	90	161	28	13	120
ANKRD16	32	13	73	13	61	8	16	105	13	84	114	19	26	79
ANKRD17	780	566	3478	987	4972	170	631	3583	391	2936	3480	430	441	3921
ANKRD18A	91	27	102	31	184	2	21	188	16	314	216	11	7	303
ANKRD18B	45	1	4	4	107	4	3	43	8	175	53	2	6	126
ANKRD2	4	0	0	0	7	0	0	9	2	3	1	3	0	0
ANKRD20A1	74	20	18	14	40	3	2	33	5	32	47	2	4	78
ANKRD20A19P	35	0	1	0	2	4	2	1	19	0	1	32	3	2
ANKRD20A2	9	2	4	4	9	1	1	7	1	9	15	1	1	8
ANKRD20A3	31	0	6	12	9	2	4	20	6	17	20	0	0	45
ANKRD20A4	110	19	71	42	47	0	2	28	1	18	130	7	1	93
ANKRD22	32	1	19	3	631	0	8	133	14	62	67	5	11	228
ANKRD23	26	13	36	12	59	3	13	65	13	50	60	15	6	40
ANKRD24	20	12	41	8	60	1	14	50	1	38	25	16	8	71
ANKRD26	228	98	373	109	474	16	87	696	58	527	665	19	50	605
ANKRD27	130	58	372	111	863	18	142	703	86	529	549	58	92	687
ANKRD28	202	79	819	222	1073	40	98	834	95	609	832	57	102	850
ANKRD29	23	5	194	52	81	2	23	132	6	53	43	5	10	131
ANKRD30A	43	0	1	2	3	2	4	6	7	1	0	3	6	1
ANKRD30B	65	0	15	8	1	0	2	5	6	2	1	3	1	2
ANKRD31	55	1	20	11	27	0	6	29	2	24	26	7	1	29
ANKRD32	28	5	103	30	140	1	9	137	3	58	166	6	6	121
ANKRD33	3	0	0	0	0	0	0	0	1	0	0	6	0	0
ANKRD33B	122	92	72	57	107	19	67	158	69	72	122	91	55	111
ANKRD34A	14	5	8	3	24	1	10	19	6	12	13	10	8	11
ANKRD34B	14	0	119	21	176	4	1	5	2	3	21	1	0	9
ANKRD34C	25	0	0	0	1	1	1	0	9	0	0	7	0	0
ANKRD35	32	10	23	12	82	6	6	109	14	24	62	15	8	26
ANKRD36	666	487	677	389	1381	22	225	2135	147	1849	2129	102	103	2259
ANKRD36B	153	71	336	169	643	11	69	1131	33	398	431	11	35	459
ANKRD36C	416	238	317	277	1220	15	198	1135	66	839	983	42	83	855
ANKRD37	52	47	235	68	216	8	99	213	20	192	352	11	12	585
ANKRD39	10	12	21	7	29	1	11	26	6	10	32	4	5	19
ANKRD40	150	178	789	224	962	58	252	1026	150	559	867	156	181	697
ANKRD42	37	26	65	24	133	8	33	159	15	57	131	21	14	89
ANKRD44	130	80	167	152	345	26	90	429	53	177	266	71	77	215
ANKRD45	19	13	2	1	9	4	4	11	8	1	13	27	6	2
ANKRD46	51	18	217	39	207	7	27	197	19	82	183	26	22	203
ANKRD49	50	10	124	44	224	5	18	222	18	124	156	15	5	182
ANKRD5	52	24	171	31	180	4	33	148	11	117	191	28	17	205
ANKRD50	362	140	1910	496	1292	76	295	2028	150	1164	1822	126	205	1770
ANKRD52	130	173	310	189	545	94	209	445	155	397	398	252	194	387
ANKRD53	6	2	2	3	3	0	5	8	5	4	8	5	5	4
ANKRD54	17	11	66	23	120	12	16	93	19	56	109	17	12	82
ANKRD55	22	2	0	1	1	0	0	1	6	2	0	5	0	1
ANKRD6	86	35	171	53	154	14	63	258	29	67	292	49	27	79
ANKRD60	8	0	0	0	0	0	0	0	4	0	0	1	0	0
ANKRD62	67	2	0	0	1	2	4	3	8	1	1	9	3	0
ANKRD63	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD65	25	30	29	6	127	8	12	82	8	17	50	13	5	23
ANKRD7	15	0	0	0	1	0	0	3	1	0	1	0	0	0
ANKRD9	6	10	34	13	120	1	15	99	19	67	64	13	7	51
ANKS1A	135	153	399	106	582	24	123	512	55	371	461	73	86	533
ANKS1B	65	40	143	56	60	16	40	147	23	78	133	12	33	121
ANKS3	27	40	75	28	95	0	28	113	7	92	108	21	9	72
ANKS4B	26	0	0	0	2	3	6	1	3	1	1	8	2	1
ANKS6	53	48	126	71	245	16	46	126	34	200	124	42	51	208
ANKUB1	23	0	0	0	0	0	0	0	2	0	1	0	5	0
ANKZF1	131	60	531	103	745	10	48	657	29	601	830	64	32	680
ANLN	48	4	44	10	237	1	10	64	6	54	65	7	14	34
ANO1	128	87	102	105	341	56	87	495	113	133	211	78	31	114
ANO10	78	57	163	42	392	5	40	315	17	171	228	12	32	261
ANO2	48	28	14	5	10	3	9	20	12	10	15	19	5	10
ANO3	45	1	4	0	3	1	4	3	4	5	1	3	3	1
ANO4	81	10	68	24	202	3	33	278	24	89	210	31	36	364
ANO5	96	44	176	64	223	23	102	566	54	89	325	43	55	168
ANO6	339	263	976	254	1794	115	431	2386	206	745	1520	178	225	1075
ANO7	169	112	572	294	712	25	502	893	213	2153	1522	322	243	2291
ANO8	27	43	36	12	59	1	23	76	26	60	64	42	11	56
ANO9	8	10	8	8	38	2	3	27	7	20	20	9	0	28
ANP32A	215	167	961	191	1128	49	123	763	114	574	961	117	126	772
ANP32B	107	206	181	148	228	64	128	207	79	173	231	149	130	226
ANP32D	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ANP32E	72	69	139	55	359	17	76	435	48	126	228	43	78	152
ANPEP	326	163	77	29	3110	51	55	557	255	13528	2169	65	297	12160
ANTXR1	496	572	396	447	3162	270	780	2591	568	510	1322	426	640	812
ANTXR2	1222	453	2220	488	3240	135	476	4533	525	4061	4017	269	633	7631
ANXA1	700	179	845	190	1315	16	66	1381	62	565	1800	35	58	1223
ANXA10	14	0	4	2	0	0	1	0	0	0	0	0	0	1
ANXA11	212	187	462	186	911	30	164	785	103	524	684	98	111	667
ANXA13	25	0	0	0	2	0	0	3	0	0	0	3	0	1
ANXA2	621	347	502	205	4146	96	147	4024	162	955	2158	130	89	831
ANXA2R	11	1	4	7	10	1	4	14	2	22	19	3	0	10
ANXA3	179	30	672	66	1146	3	25	895	15	711	897	10	8	1152
ANXA4	159	90	302	59	789	26	61	768	41	373	718	24	54	734
ANXA5	341	232	3576	368	3246	44	142	2111	79	1348	2370	63	118	1994
ANXA6	250	231	546	143	990	25	115	1555	78	484	881	64	63	547
ANXA7	220	74	1058	142	1837	13	73	1485	57	681	1378	38	56	985
ANXA8	17	12	4	2	67	3	0	105	4	4	13	1	0	2
ANXA8L1	16	3	9	10	27	1	0	12	10	0	5	1	0	0
ANXA8L2	29	14	10	8	77	8	1	168	8	12	24	5	0	4
ANXA9	12	0	2	0	10	0	2	13	1	0	3	5	1	0
AOAH	39	26	30	30	90	1	12	121	7	52	66	12	14	47
AOC2	8	4	2	5	7	2	13	7	4	12	4	10	10	12
AOC3	114	126	183	66	333	56	153	842	113	228	596	124	119	246
AOX1	86	44	59	56	939	26	82	915	79	209	464	62	70	153
AP1AR	66	19	433	89	565	2	47	440	34	357	531	16	37	519
AP1B1	313	191	881	224	2091	23	93	1077	79	1011	1188	112	61	1047
AP1G1	421	200	2034	467	3009	90	351	1945	183	1544	1913	152	270	2264
AP1G2	91	128	313	122	494	9	50	323	27	282	358	41	22	300
AP1M1	46	34	84	24	161	14	18	152	19	110	122	31	16	163
AP1M2	55	28	348	43	493	9	10	203	11	247	387	32	27	344
AP1S1	22	14	171	13	146	5	10	82	12	63	120	7	11	123
AP1S2	29	8	88	22	161	5	23	273	16	92	135	15	30	102
AP1S3	45	60	110	50	178	16	38	95	27	80	184	82	38	136
AP2A1	64	77	174	46	339	17	36	329	29	189	235	44	28	245
AP2A2	117	123	391	129	617	8	88	524	45	492	523	61	51	574
AP2B1	453	289	1115	363	2096	80	332	1673	203	1526	1657	176	252	2151
AP2M1	336	302	1649	284	2201	68	167	1913	131	1180	1547	120	140	1270
AP2S1	28	9	135	24	202	8	9	110	14	93	138	22	16	155
AP3B1	237	126	733	143	1245	23	102	894	64	591	851	51	83	860
AP3B2	19	5	23	7	36	4	9	31	23	18	27	20	9	25
AP3D1	290	279	1234	309	1751	37	171	1390	99	1050	1440	105	79	1263
AP3M1	198	54	646	128	1203	35	102	891	67	592	795	54	94	879
AP3M2	64	58	252	52	268	9	52	268	36	129	312	30	33	170
AP3S1	90	30	430	86	543	35	105	501	33	270	452	31	84	424
AP3S2	3	0	60	3	84	1	1	68	2	16	32	0	2	70
