Feature.ID	P1_FF_Total_Exon_Reads_fwd_RNA.Seq	P1_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P2_FF_Total_Exon_Reads_fwd_RNA.Seq	P2_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P3_FF_Total_Exon_Reads_fwd_RNA.Seq	P3_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FF_Total_Exon_Reads_fwd_RNA.Seq	P5_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P5_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FF_Total_Exon_Reads_fwd_RNA.Seq
TREH	13	0	0	1	0	1	0	0	1	0	0	3	1	0
TREM1	19	1	3	6	17	5	2	11	5	1	1	8	8	1
TREM2	2	1	2	0	16	1	1	25	2	1	3	4	0	4
TREML1	6	0	0	0	2	0	0	4	1	2	1	1	3	0
TREML2	25	15	1	5	5	0	9	5	9	4	1	9	1	0
TREML4	14	1	0	0	3	0	1	0	4	0	0	4	3	0
TRERF1	136	228	99	87	240	22	134	401	89	255	272	77	75	274
TREX1	22	10	128	22	113	3	9	72	10	85	93	11	5	135
TREX2	1	0	1	0	3	0	1	0	1	2	1	1	0	2
TRH	4	0	0	0	0	0	0	0	4	0	0	14	0	1
TRHDE	82	69	30	15	118	15	35	165	39	49	222	17	22	93
TRHR	3	0	0	0	0	0	0	0	1	0	0	2	0	0
TRIAP1	46	11	151	32	258	4	15	234	7	111	180	2	26	186
TRIB1	91	102	2305	834	1869	54	479	1474	129	1069	687	149	1106	2998
TRIB2	170	158	214	114	871	62	125	757	101	453	513	154	83	321
TRIB3	10	9	131	16	39	2	7	34	6	39	73	8	5	65
TRIL	28	8	45	8	39	5	25	92	16	27	63	23	21	72
TRIM10	28	0	1	0	0	2	2	0	11	0	0	1	1	0
TRIM11	27	24	161	30	136	4	24	124	14	85	144	22	7	140
TRIM13	170	85	1025	182	816	52	102	686	92	597	856	72	69	793
TRIM14	134	114	413	162	542	50	164	507	49	424	543	87	94	401
TRIM15	11	0	1	0	1	2	0	0	3	0	0	4	0	0
TRIM16	36	19	63	19	58	6	27	140	16	41	87	37	21	58
TRIM16L	20	3	14	4	27	0	6	47	2	19	46	7	1	22
TRIM17	10	17	1	0	9	2	2	19	8	0	6	13	2	1
TRIM2	323	132	1572	349	1924	69	175	1924	205	698	913	107	142	558
TRIM21	56	43	123	28	335	1	12	280	14	143	133	21	8	172
TRIM22	224	186	178	142	837	45	111	1336	86	257	750	45	52	289
TRIM23	87	35	341	80	650	18	48	646	24	444	407	31	27	637
TRIM24	180	33	715	144	1214	23	45	640	47	641	621	43	65	897
TRIM25	117	106	372	134	521	40	96	411	61	383	426	86	77	374
TRIM26	129	198	419	141	534	59	148	506	83	406	491	113	129	465
TRIM27	98	71	772	151	625	20	70	549	33	480	592	32	38	628
TRIM28	129	156	490	101	740	19	56	572	52	416	564	82	36	537
TRIM29	233	104	75	47	774	27	26	667	78	106	293	54	2	41
TRIM3	32	22	131	48	149	3	22	125	22	49	146	25	28	132
TRIM31	25	9	1	6	4	3	0	9	18	0	4	12	1	0
TRIM32	83	26	177	54	246	14	34	221	43	142	190	22	38	234
TRIM33	393	248	2877	654	2562	54	456	2243	260	1934	2976	139	256	2653
TRIM34	1	5	20	4	127	2	8	107	0	14	67	1	2	66
TRIM35	50	65	167	37	184	13	41	188	47	186	141	42	32	192
TRIM36	50	14	783	141	491	9	27	260	31	670	357	25	46	670
TRIM37	128	57	694	163	818	36	94	752	64	561	937	67	67	669
TRIM38	238	221	621	299	924	45	148	957	108	431	706	107	109	568
TRIM39	38	42	155	39	275	19	24	210	32	131	195	29	18	144
TRIM39-RPP21	16	21	7	9	24	3	3	47	4	9	24	15	2	8
TRIM4	194	98	610	130	887	25	61	676	59	442	562	58	62	490
TRIM40	11	0	0	0	0	0	0	0	0	0	0	2	1	0
TRIM41	60	107	133	66	192	19	35	169	23	130	139	35	37	154
TRIM42	14	0	0	0	0	0	0	0	3	0	0	1	2	0
TRIM43	28	0	0	0	0	0	0	0	4	0	0	1	0	0
TRIM43B	23	0	0	0	0	0	1	0	5	0	0	5	0	0
TRIM44	172	242	881	285	986	94	304	993	169	605	884	234	252	943
TRIM45	41	15	62	23	105	12	50	155	19	55	94	29	13	57
TRIM46	9	3	4	2	5	1	9	15	7	6	7	36	4	1
TRIM47	15	6	18	8	50	10	17	82	7	15	45	4	10	23
TRIM48	11	0	0	0	0	0	1	0	2	0	0	0	1	0
TRIM49	21	0	0	0	2	0	0	0	10	0	1	1	0	0
TRIM49B	6	0	0	0	0	0	0	0	1	0	0	2	0	0
TRIM49C	2	0	0	0	0	0	0	0	1	0	0	5	0	0
TRIM49DP	3	3	1	0	11	1	0	0	1	3	0	0	1	1
TRIM49L1	17	0	1	0	27	0	1	0	2	4	0	3	2	0
TRIM5	134	86	400	123	515	25	84	479	63	375	544	78	110	487
TRIM50	2	0	0	0	0	1	0	0	4	1	0	6	3	0
TRIM51	13	0	1	0	0	0	0	0	2	0	0	0	1	0
TRIM51GP	2	0	0	0	0	0	0	0	2	0	0	4	1	0
TRIM52	46	39	157	58	337	7	30	211	12	142	174	15	12	154
TRIM54	9	0	0	0	4	0	5	4	3	0	1	4	0	0
TRIM55	21	0	1	2	1	0	3	0	3	0	0	0	1	0
TRIM56	91	185	252	140	407	22	71	358	67	231	279	70	68	265
TRIM58	26	10	60	20	56	3	6	44	22	72	51	27	14	53
TRIM59	35	13	159	31	115	8	20	130	8	95	145	17	14	154
TRIM6	3	7	4	2	36	0	5	27	1	3	26	3	3	19
TRIM6-TRIM34	45	19	11	3	48	1	6	62	13	30	15	3	10	14
TRIM60	9	0	0	0	0	2	1	0	0	2	0	4	0	1
TRIM61	19	4	1	0	8	3	2	14	4	3	10	4	2	4
TRIM62	27	37	117	41	109	7	43	92	22	118	112	44	18	104
TRIM63	13	0	0	1	1	0	2	5	5	2	1	3	1	0
TRIM64	1	0	0	0	0	0	2	0	1	0	0	3	0	0
TRIM64B	12	0	0	0	0	0	0	0	4	0	0	2	0	0
TRIM64C	12	1	0	0	0	0	0	0	0	0	0	2	0	0
TRIM65	22	45	87	33	132	8	20	119	13	80	129	25	28	72
TRIM66	91	63	162	157	203	47	122	196	76	144	209	136	143	193
TRIM67	40	5	2	1	2	4	4	1	13	1	0	30	11	4
TRIM68	96	38	740	152	412	7	46	272	30	436	285	49	34	417
TRIM69	19	0	3	4	4	3	1	9	8	4	2	9	4	5
TRIM7	15	4	14	4	33	2	6	14	6	15	9	11	1	19
TRIM71	6	0	1	0	1	1	0	0	2	0	0	17	0	0
TRIM72	11	2	0	0	1	0	4	0	1	0	0	9	0	0
TRIM73	2	5	1	3	3	0	0	6	2	1	1	4	0	1
TRIM74	4	8	3	3	11	0	9	8	1	10	7	0	4	7
TRIM77P	19	0	0	0	0	0	1	0	6	1	0	0	0	0
TRIM8	146	265	592	185	924	85	234	811	145	478	744	377	234	630
TRIM9	28	10	5	1	35	4	9	10	11	8	18	20	6	5
TRIML1	8	0	0	0	0	0	0	0	1	0	0	1	1	0
TRIML2	4	0	0	0	0	0	0	0	3	0	0	4	0	0
TRIO	475	315	1173	465	1497	44	329	1790	215	1777	1476	178	196	1800
TRIOBP	239	294	426	225	773	97	294	811	238	421	628	206	190	494
TRIP10	126	109	153	68	626	22	69	649	48	232	432	50	28	251
TRIP11	508	237	2450	525	2794	38	248	2451	180	1596	2304	101	186	2389
TRIP12	1011	646	2314	755	4065	118	560	3725	486	2705	3167	378	380	3198
TRIP13	26	10	52	12	28	3	3	18	0	10	21	1	3	16
TRIP4	72	36	149	45	207	6	27	145	16	118	184	5	25	176
TRIP6	25	76	79	29	231	15	32	292	23	77	125	31	14	108
TRIQK	106	22	670	123	962	34	99	569	78	402	613	32	145	891
TRIT1	80	46	311	76	478	14	49	329	35	267	411	26	34	382
