Feature.ID	B1_Total_Exon_Reads_fwd_RNA.Seq	B2_Total_Exon_Reads_fwd_RNA.Seq	B3_Total_Exon_Reads_fwd_RNA.Seq	B4_Total_Exon_Reads_fwd_RNA.Seq	B5_Total_Exon_Reads_fwd_RNA.Seq	B6_Total_Exon_Reads_fwd_RNA.Seq	B7_Total_Exon_Reads_fwd_RNA.Seq	B8_Total_Exon_Reads_fwd_RNA.Seq	B9_Total_Exon_Reads_fwd_RNA.Seq	B10_Total_Exon_Reads_fwd_RNA.Seq
LCMT1	340	252	70	158	333	10	129	152	35	436
LCMT2	135	119	61	62	85	21	52	86	30	358
LCN1	0	0	0	0	0	1	3	0	0	1
LCN10	2	0	0	0	0	1	4	0	1	0
LCN12	1	0	0	0	1	0	0	1	1	0
LCN15	0	1	0	0	0	1	0	0	2	0
LCN2	4	173	2	2136	5	10	11	23	92	22
LCN6	0	0	0	0	0	1	1	0	1	1
LCN8	1	1	1	0	0	0	1	0	2	0
LCN9	2	0	0	0	0	2	1	1	0	2
LCNL1	0	0	0	0	0	0	2	2	2	1
LCOR	4802	3964	1332	3988	2760	201	1845	1861	466	15604
LCORL	583	503	185	298	374	48	217	136	82	1086
LCP1	112	631	1051	112	275	34	147	1705	226	596
LCP2	15	49	18	37	22	14	54	12	21	38
LCT	1	0	13	0	1	18	17	2	25	21
LCTL	7	1	4	3	4	9	8	8	9	28
LDB1	795	336	485	560	363	31	506	377	142	1410
LDB2	60	90	13	34	42	8	35	39	25	88
LDB3	5	8	11	6	6	9	22	7	20	36
LDHA	4294	10035	5122	3011	1844	497	820	1577	889	4488
LDHAL6A	2	0	7	3	4	7	9	26	15	7
LDHAL6B	2	0	2	0	0	10	10	12	12	3
LDHB	9446	14613	5316	5723	4890	151	3405	614	704	38531
LDHC	0	0	5	0	1	6	7	17	5	8
LDHD	8	108	39	19	9	3	9	9	10	9
LDLR	72	191	49	281	52	15	28	144	52	136
LDLRAD1	0	0	0	0	0	0	3	0	0	2
LDLRAD2	4	12	6	6	4	7	12	2	9	22
LDLRAD3	53	25	8	12	53	10	20	12	8	19
LDLRAD4	922	128	393	20	11	60	179	36	95	477
LDLRAP1	74	80	57	53	75	12	39	113	12	158
LDOC1	58	19	24	1	2	2	16	1	11	24
LDOC1L	511	537	235	207	226	29	197	262	65	1709
LEAP2	35	40	1	9	43	12	38	93	8	6
LECT1	1	0	0	1	0	7	4	3	10	11
LECT2	0	1	2	1	1	4	6	1	7	9
LEF1	26	66	10	12	21	17	61	41	34	131
LEFTY1	0	0	3	1	0	0	3	2	3	9
LEFTY2	1	0	4	0	0	3	10	1	4	4
LEKR1	41	10	30	13	24	21	45	38	36	87
LELP1	0	0	0	0	0	0	2	3	2	0
LEMD1	3	5	17	0	0	6	5	3	6	10
LEMD2	424	329	144	244	269	24	160	230	46	808
LEMD3	950	810	340	504	470	59	407	485	92	2751
LENEP	0	0	2	3	0	2	3	0	0	0
LENG1	113	87	34	50	43	4	33	53	7	132
LENG8	694	139	198	1001	412	27	446	349	93	700
LENG9	58	51	20	47	30	6	22	10	8	77
LEO1	885	857	437	499	604	76	340	433	162	2916
LEP	2	0	5	0	1	9	6	14	7	16
LEPR	300	211	250	87	81	26	102	48	51	338
LEPRE1	77	76	41	49	94	22	51	118	24	336
LEPREL1	147	146	15	78	13	12	35	25	44	140
LEPREL2	62	8	49	3	31	4	36	3	5	53
LEPREL4	38	39	54	5	38	9	28	29	8	224
LEPROT	486	578	113	223	90	7	102	40	22	565
LEPROTL1	534	617	202	299	222	73	255	111	77	1462
LETM1	665	699	319	600	303	49	253	559	59	1843
LETM2	15	11	10	16	12	20	24	6	14	80
LETMD1	875	477	239	774	385	39	472	217	75	461
LEUTX	0	0	1	1	0	4	1	1	2	8
LFNG	375	71	8	58	4	27	52	202	14	158
LGALS1	50	378	95	51	118	19	58	200	24	128
LGALS12	1	0	0	0	0	8	5	0	5	4
LGALS13	0	0	4	0	0	4	3	0	6	4
LGALS14	0	0	4	0	0	6	5	1	7	13
LGALS16	0	1	0	0	0	3	1	1	1	2
LGALS2	0	12	3	0	2	5	1	1	2	2
LGALS3	1208	2592	39	553	144	41	213	1140	112	2231
LGALS3BP	1713	2887	547	585	654	138	1016	27	301	3549
LGALS4	2	114	3	4	6	51	7	26	4	266
LGALS7	0	2	0	1	0	1	0	0	1	0
LGALS7B	0	2	0	0	0	0	0	0	0	0
LGALS8	2048	3570	1376	3257	652	206	975	601	316	4391
LGALS9	162	130	51	111	12	15	173	56	33	40
LGALS9B	0	0	0	1	0	1	3	1	5	6
LGALS9C	0	0	4	0	0	3	10	2	3	6
LGALSL	100	136	61	87	51	20	41	104	42	162
LGI1	3	0	6	0	2	8	14	4	21	27
LGI2	13	48	5	4	6	34	33	8	29	86
LGI3	1	0	6	0	0	5	10	2	7	7
LGI4	7	9	4	3	11	4	8	6	3	10
LGMN	3733	1694	172	690	155	59	440	148	95	4429
LGR4	1858	1737	980	893	264	95	581	656	177	861
LGR5	166	13	3	13	4	56	13	14	23	36
LGR6	4	12	5	0	1	7	18	8	14	11
LGSN	0	3	9	37	2	22	13	26	17	29
LHB	0	0	0	0	0	0	1	1	1	3
LHCGR	1	0	7	0	0	19	12	9	18	39
LHFP	126	200	11	36	47	5	46	39	11	187
LHFPL1	1	5	1	0	7	7	6	3	12	12
LHFPL2	1227	1561	791	796	379	138	290	392	170	5755
LHFPL3	0	3	1	0	0	4	13	9	15	18
LHFPL4	0	0	7	0	2	5	10	7	0	10
LHFPL5	1	1	8	2	4	7	8	7	8	13
LHPP	46	106	26	26	26	13	41	26	7	91
LHX1	0	34	1	1	0	0	2	3	5	5
LHX2	0	0	0	0	2	2	0	19	2	5
LHX3	1	0	0	0	0	1	5	3	4	0
LHX4	2	1	7	1	31	3	5	48	3	3
LHX5	3	0	4	1	0	0	2	0	1	4
LHX6	5	59	4	3	12	5	18	9	6	26
LHX8	2	5	10	0	0	11	16	18	21	19
LHX9	8	0	4	0	1	8	7	4	11	10
LIAS	203	158	90	110	104	18	66	18	29	324
LIF	2	45	53	43	15	10	39	6	12	50
LIFR	220	892	30	9	33	42	118	1361	60	234
LIG1	262	264	138	317	459	29	154	388	52	848
LIG3	374	390	133	293	396	29	199	364	63	963
LIG4	496	375	262	360	187	30	358	104	74	826
LILRA1	1	3	4	1	0	20	17	11	20	22
LILRA2	0	5	5	0	0	6	8	0	4	5
LILRA3	2	0	1	1	0	4	3	0	0	1
LILRA4	2	0	5	0	0	9	4	2	3	11
LILRA5	0	1	2	1	2	6	4	3	4	3
LILRA6	2	6	12	8	0	12	11	15	17	13
LILRB1	4	9	2	4	1	7	12	8	14	18
LILRB2	5	10	2	13	1	5	12	9	11	10
LILRB3	3	3	3	5	2	7	3	5	2	8
LILRB4	4	14	6	11	5	7	15	8	7	14
LILRB5	4	10	0	7	4	6	9	4	5	21
LIM2	0	0	0	0	0	0	0	1	1	0
LIMA1	3256	4367	466	1322	681	214	1089	908	316	2470
LIMCH1	2035	6645	924	1377	1628	194	1005	1036	502	2292
LIMD1	1461	1405	441	1034	815	61	527	670	136	2743
LIMD2	38	8	13	28	70	6	33	53	14	66
LIME1	6	7	5	17	15	0	10	7	1	19
LIMK1	105	96	28	63	69	6	63	100	14	229
LIMK2	386	729	263	480	173	48	206	182	115	1363
LIMS1	2033	2087	498	567	339	97	652	291	204	3976
LIMS2	5	5	6	3	2	8	12	5	3	9
LIMS3	0	1	1	0	0	1	1	1	0	0
LIMS3L	0	0	1	1	0	5	1	2	0	0
LIN28A	8	4	10	14	9	41	39	28	43	33
LIN28B	1	0	8	1	29	16	30	169	28	39
LIN37	21	32	12	24	24	3	26	35	5	84
LIN52	94	65	21	57	56	10	54	62	12	133
LIN54	430	555	203	357	400	63	203	333	76	1921
LIN7A	3	131	8	2	51	10	6	59	12	36
LIN7B	12	9	12	13	9	2	13	18	2	53
LIN7C	2090	2482	846	842	884	104	707	430	227	3104
LIN9	141	264	114	152	178	12	97	124	29	455
LINGO1	1	8	2	4	4	6	5	36	7	8
LINGO2	2	0	4	0	0	12	8	19	31	24
LINGO3	0	0	1	0	1	1	1	1	0	0
LINGO4	0	0	2	0	0	5	6	4	6	2
LINS	140	123	40	107	116	14	96	109	42	383
LIPA	604	680	297	246	220	64	360	255	90	1501
LIPC	140	32	7	18	28	13	22	6	23	54
LIPE	34	39	18	52	55	8	28	11	11	90
LIPF	0	0	1	0	0	5	5	3	7	7
LIPG	24	136	11	18	66	16	25	209	48	275
LIPH	1259	1298	99	373	38	60	99	82	58	1249
LIPI	1	0	2	0	3	10	12	12	13	23
LIPJ	2	0	4	0	4	8	7	4	12	22
LIPK	0	4	11	0	19	8	6	3	16	97
